Time, Stove, Ready, Assistants, Remarks
99, adobo(Cook - 1), karekare(Cook - 20)   , tinola(Prep - 20)   , adobo is Done. 
100, -- Idle --, karekare(Cook - 20)   , tinola(Prep - 19)   , Cleaning stove. 
101, -- Idle --, karekare(Cook - 20)   , tinola(Prep - 18)   , Preheating stove. 
102, karekare(Cook - 20), , tinola(Prep - 17)   , 
103, karekare(Cook - 19), , tinola(Prep - 16)   , 
104, karekare(Cook - 18), , tinola(Prep - 15)   , 
105, karekare(Cook - 17), , tinola(Prep - 14)   , 
106, karekare(Cook - 16), , tinola(Prep - 13)   , 
107, karekare(Cook - 15), , tinola(Prep - 12)   , 
108, karekare(Cook - 14), , tinola(Prep - 11)   , 
109, karekare(Cook - 13), , tinola(Prep - 10)   , 
110, karekare(Cook - 12), , tinola(Prep - 9)   , 
111, karekare(Cook - 11), , tinola(Prep - 8)   , 
112, karekare(Cook - 10), , tinola(Prep - 7)   , 
113, karekare(Cook - 9), , tinola(Prep - 6)   , 
114, karekare(Cook - 8), , tinola(Prep - 5)   , 
115, karekare(Cook - 7), , tinola(Prep - 4)   , 
116, karekare(Cook - 6), , tinola(Prep - 3)   , 
117, karekare(Cook - 5), , tinola(Prep - 2)   , 
118, karekare(Cook - 4), , tinola(Prep - 1)   , tinola is Done. 
119, karekare(Cook - 3), , , 
120, karekare(Cook - 2), , , 
121, karekare(Cook - 1), , , 
122, -- Idle --, , , Cleaning stove. 
123, -- Idle --, , karekare(Prep - 20)   , 
124, -- Idle --, , karekare(Prep - 19)   , 
125, -- Idle --, , karekare(Prep - 18)   , 
126, -- Idle --, , karekare(Prep - 17)   , 
127, -- Idle --, , karekare(Prep - 16)   , 
128, -- Idle --, , karekare(Prep - 15)   , 
129, -- Idle --, , karekare(Prep - 14)   , 
130, -- Idle --, , karekare(Prep - 13)   , 
131, -- Idle --, , karekare(Prep - 12)   , 
132, -- Idle --, , karekare(Prep - 11)   , 
133, -- Idle --, , karekare(Prep - 10)   , 
134, -- Idle --, , karekare(Prep - 9)   , 
135, -- Idle --, , karekare(Prep - 8)   , 
136, -- Idle --, , karekare(Prep - 7)   , 
137, -- Idle --, , karekare(Prep - 6)   , 
138, -- Idle --, , karekare(Prep - 5)   , 
139, -- Idle --, , karekare(Prep - 4)   , 
140, -- Idle --, , karekare(Prep - 3)   , 
141, -- Idle --, , karekare(Prep - 2)   , 
142, -- Idle --, , karekare(Prep - 1)   , 
143, -- Idle --, karekare(Cook - 10)   , , Preheating stove. 
144, karekare(Cook - 10), , , 
145, karekare(Cook - 9), , , 
146, karekare(Cook - 8), , , 
147, karekare(Cook - 7), , , 
148, karekare(Cook - 6), , , 
149, karekare(Cook - 5), , , 
150, karekare(Cook - 4), , , 
151, karekare(Cook - 3), , , 
152, karekare(Cook - 2), , , 
153, karekare(Cook - 1), , , 
154, -- Idle --, , , Cleaning stove. 
155, -- Idle --, , karekare(Prep - 20)   , 
156, -- Idle --, , karekare(Prep - 19)   , 
157, -- Idle --, , karekare(Prep - 18)   , 
158, -- Idle --, , karekare(Prep - 17)   , 
159, -- Idle --, , karekare(Prep - 16)   , 
160, -- Idle --, , karekare(Prep - 15)   , 
161, -- Idle --, , karekare(Prep - 14)   , 
162, -- Idle --, , karekare(Prep - 13)   , 
163, -- Idle --, , karekare(Prep - 12)   , 
164, -- Idle --, , karekare(Prep - 11)   , 
165, -- Idle --, , karekare(Prep - 10)   , 
166, -- Idle --, , karekare(Prep - 9)   , 
167, -- Idle --, , karekare(Prep - 8)   , 
168, -- Idle --, , karekare(Prep - 7)   , 
169, -- Idle --, , karekare(Prep - 6)   , 
170, -- Idle --, , karekare(Prep - 5)   , 
171, -- Idle --, , karekare(Prep - 4)   , 
172, -- Idle --, , karekare(Prep - 3)   , 
173, -- Idle --, , karekare(Prep - 2)   , 
174, -- Idle --, , karekare(Prep - 1)   , 
175, -- Idle --, karekare(Cook - 20)   , , Preheating stove. 
176, karekare(Cook - 20), , , 
177, karekare(Cook - 19), , , 
178, karekare(Cook - 18), , , 
179, karekare(Cook - 17), , , 
180, karekare(Cook - 16), , , 
181, karekare(Cook - 15), , , 
182, karekare(Cook - 14), , , 
183, karekare(Cook - 13), , , 
184, karekare(Cook - 12), , , 
185, karekare(Cook - 11), , , 
186, karekare(Cook - 10), , , 
187, karekare(Cook - 9), , , 
188, karekare(Cook - 8), , , 
189, karekare(Cook - 7), , , 
190, karekare(Cook - 6), , , 
191, karekare(Cook - 5), , , 
192, karekare(Cook - 4), , , 
193, karekare(Cook - 3), , , 
194, karekare(Cook - 2), , , 
195, karekare(Cook - 1), , , karekare is Done. 
